,Secondary Display Type,Wireless Charging,Platform,Device Category,Brand,Pixel Density,Market Regions,Zoom,Display Type,ROM,Display Refresh Rate,CPU Clock,Sec. SIM Card Slot,Mass,Price,ppi,CPU Name,RAM,VidResolution,bluetooth
3573,False,True,Android,Smartphone,Samsung,496,North America,5.0,AM-OLED display,128,120,3091,False,0.208,1299.99,475.5538796992012,Qualcomm Snapdragon,12,33.1776,5.0
3574,False,False,Android,Smartphone,Xiaomi,395,Asia,1.0,Color IPS TFT LCD display,128,0,2000,True,0.198,157.0428,364.1417236449381,Qualcomm Snapdragon,4,2.0736,4.2
3575,False,False,Android,Tablet,Samsung,189,Asia,1.0,Color IPS TFT LCD display,64,0,2020,False,0.345,199.99,157.07799953677093,Qualcomm Snapdragon,2,2.0736,4.2
3576,False,True,iOS / iPadOS,Smartphone,Apple,460,Asia,4.0,AM-OLED display,128,60,2990,True,0.187,1120.8788,434.1204188427978,Apple A14,6,8.2944,5.0
3577,False,True,Android,Smartphone,LG,403,North America,1.0,AM-OLED display,128,0,2842,False,0.193,949.99,371.1540740296966,Qualcomm Snapdragon,6,8.2944,5.0
3578,False,False,Android,Smartphone,FIH,263,North America,1.0,Color IPS TFT LCD display,32,0,2000,False,0.2,129.99,235.76795582229204,MediaTek Helio,3,2.0736,5.1
3579,False,False,Android,Smartphone,FIH,263,North America,1.0,Color IPS TFT LCD display,32,0,2000,False,0.2,79.99,235.76795582229204,MediaTek Helio,3,2.0736,5.1
3580,False,False,Android,Smartphone,BBK,398,Asia,5.0,AM-OLED display,256,120,2840,True,0.19669999999999999,785.6856,377.53832024898117,Qualcomm Snapdragon,8,33.1776,5.1
3582,False,False,Android,Smartphone,Xiaomi,395,Asia,1.0,Color IPS TFT LCD display,128,144,2840,True,0.216,576.1866,367.45698139817785,Qualcomm Snapdragon,8,33.1776,5.1
3583,False,True,Android,Smartphone,Samsung,394,Asia,2.5,AM-OLED display,256,60,3091,False,0.192,1063.513,375.0434951215678,Qualcomm Snapdragon,8,33.1776,5.0
3584,False,False,Android,Smartphone,Google,444,North America,1.0,AM-OLED display,128,0,2200,False,0.143,349.99,409.51294417469836,Qualcomm Snapdragon,6,8.2944,5.0
3585,False,False,Android,Smartphone,Samsung,269,Central America,1.0,Color PLS TFT LCD display,64,0,2320,True,0.205,179.95,246.66654207983942,MediaTek Helio,4,2.0736,4.2
3586,False,False,Android,Smartphone,Xiaomi,395,Asia,1.0,Color IPS TFT LCD display,256,120,2300,True,0.2145,314.2428,366.6060400271245,Qualcomm Snapdragon,8,8.2944,5.1
3587,False,False,Android,Smartphone,Xiaomi,269,Asia,1.0,Color IPS TFT LCD display,128,60,2000,True,0.194,147.38660000000002,244.83514791971538,MediaTek Helio,4,2.0736,5.0
3588,False,True,Android,Smartphone,Samsung,394,North America,2.2,AM-OLED display,128,120,2842,True,0.2,999.99,374.07391967655843,Qualcomm Snapdragon,8,33.1776,5.0
3589,False,False,Android,Smartphone,Samsung,269,Asia,1.0,Color PLS TFT LCD display,128,0,2320,True,0.205,177.9288,246.66654207983942,MediaTek Helio,4,2.0736,4.2
3590,False,False,Android,Smartphone,LG,266,Asia,1.0,Color IPS TFT LCD display,64,0,2000,True,0.184,183.9612,244.92351109628194,MediaTek Helio,3,2.0736,5.0
3591,False,False,Android,Smartphone,BBK,395,Asia,1.0,Color IPS TFT LCD display,256,60,2000,True,0.19,392.6856,365.2015109255166,Samsung Exynos,8,8.2944,5.1
3592,False,False,Android,Smartphone,Oppo,405,South America,1.0,Color IPS TFT LCD display,128,90,2050,True,0.1965,428.0738,373.53654772091056,MediaTek Helio,8,8.2944,5.0
3593,False,False,iOS / iPadOS,Tablet,Apple,265,Asia,1.0,Color IPS TFT LCD display,128,60,2496,False,0.495,635.46,224.74838650062605,Apple A12,3,2.0736,4.2
3594,False,False,Android,Smartphone,Samsung,270,Central America,1.0,Color IPS TFT LCD display,16,0,1590,True,0.163,129.0,246.9478616640944,Samsung Exynos,2,2.0736,4.2
3595,False,False,Android,Tablet,Samsung,276,Asia,1.0,Color IPS TFT LCD display,128,120,3091,False,0.5,857.5866,253.16450019352223,Qualcomm Snapdragon,6,8.2944,5.0
3596,False,False,Android,Smartphone,Oppo,409,Asia,1.0,AM-OLED display,256,90,2400,True,0.172,471.44280000000003,381.5185762276952,Qualcomm Snapdragon,12,8.2944,5.1
3597,False,True,Android,Smartphone,Xiaomi,395,Asia,1.0,AM-OLED display,128,90,2840,True,0.222,709.5155000000001,360.17683102654564,Qualcomm Snapdragon,8,8.2944,5.0
3598,False,False,Android,Smartphone,BBK,409,Asia,1.0,AM-OLED display,128,0,2000,True,0.1717,314.0856,377.2267395396934,MediaTek Dimensity,8,8.2944,5.0
3599,False,True,Android,Smartphone,Samsung,515,Africa,10.0,AM-OLED display,256,120,2900,True,0.227,1659.5359,490.8452329950593,Samsung Exynos,12,33.1776,5.2
3600,False,False,Android,Smartphone,Oppo,411,Asia,1.0,AM-OLED display,128,0,2400,True,0.176,235.64280000000002,377.0991862024605,MediaTek Dimensity,6,8.2944,5.1
3601,False,False,Android,Smartphone,Samsung,269,Asia,1.0,AM-OLED display,32,0,1800,False,0.169,10531.5,249.18987644850912,Samsung Exynos,3,2.0736,5.0
3602,False,False,Android,Smartphone,Samsung,405,Africa,3.0,AM-OLED display,128,90,2300,True,0.189,413.39050000000003,378.4028439436965,Qualcomm Snapdragon,6,8.2944,5.0
3603,False,False,Android,Smartphone,BBK,398,Asia,2.0,AM-OLED display,256,120,2800,True,0.175,628.4856,375.86008478920957,Samsung Exynos,12,8.84736,5.1
3604,False,False,Android,Smartphone,Motorola,410,Asia,1.0,Color IPS TFT LCD display,128,90,3190,True,0.207,535.08,378.65324031107826,Qualcomm Snapdragon,8,18.6624,5.1
3605,False,False,Android,Smartphone,Oppo,402,Asia,1.0,AM-OLED display,128,90,2600,True,0.173,534.3228,380.516195531878,MediaTek Dimensity,8,8.2944,5.1
3606,False,True,Android,Smartphone,Google,434,Asia,1.0,AM-OLED display,128,90,2400,False,0.151,680.6800000000001,406.80049068749946,Qualcomm Snapdragon,8,8.2944,5.0
3607,False,False,Android,Smartphone,Oppo,405,Asia,1.0,Color IPS TFT LCD display,64,90,2050,True,0.191,200.9866,373.53654772091056,MediaTek Helio,6,8.2944,5.0
3608,False,True,Android,Smartphone,Samsung,422,North America,2.2,AM-OLED display,128,120,2842,True,0.171,799.99,398.90634351394306,Qualcomm Snapdragon,8,33.1776,5.0
3609,False,False,Android,Smartphone,Lenovo,388,Africa,1.0,AM-OLED display,256,144,3091,True,0.239,1105.8959,351.0212130092895,Qualcomm Snapdragon,12,8.84736,5.0
3610,False,False,Android,Smartphone,Oppo,405,Africa,1.0,Color IPS TFT LCD display,128,90,2050,True,0.1965,227.78660000000002,373.53654772091056,MediaTek Helio,8,8.2944,5.0
3611,False,True,iOS / iPadOS,Smartphone,Apple,458,Asia,5.0,AM-OLED display,128,60,2990,True,0.226,1461.8028000000002,434.8420224436595,Apple A14,6,8.2944,5.0
3612,True,False,Android,Smartphone,Huawei,415,Asia,10.0,AM-OLED display,256,90,3130,True,0.295,2798.0028,386.6182825354699,HiSilicon Honor,8,8.2944,5.2
3613,False,True,Android,Smartphone,Samsung,515,North America,10.0,AM-OLED display,256,120,2842,True,0.227,1249.99,490.8452329950593,Qualcomm Snapdragon,12,33.1776,5.2
3614,False,False,Android,Smartphone,Samsung,408,North America,1.0,AM-OLED display,128,0,2300,False,0.172,399.0,382.52391892390074,Samsung Exynos,4,8.2944,5.0
3615,False,False,Android,Smartphone,T-Mobile,395,North America,1.0,Color IPS TFT LCD display,128,60,2400,False,0.2149,399.99,359.5511165649131,Qualcomm Snapdragon,6,8.2944,5.0
3616,False,True,iOS / iPadOS,Smartphone,Apple,403,Asia,2.0,Color IPS TFT LCD display,128,0,2376,False,0.202,785.8428,316.82616755754526,Apple A11,3,8.2944,5.0
3617,False,False,Android,Smartphone,BBK,398,Asia,1.0,AM-OLED display,256,120,2840,True,0.197,722.8056,374.538488126374,Qualcomm Snapdragon,12,33.1776,5.1
3618,False,False,Android,Smartphone,BBK,409,Asia,2.0,AM-OLED display,256,0,2000,True,0.176,355.28799999999995,380.9915169084451,Qualcomm Snapdragon,8,8.2944,5.0
3619,False,True,iOS / iPadOS,Smartphone,Apple,460,Asia,2.0,AM-OLED display,256,60,2990,True,0.162,1194.5628000000002,434.1204188427978,Apple A14,4,8.2944,5.0
3620,False,True,Android,Smartphone,Meizu,526,Asia,3.0,AM-OLED display,256,120,2842,True,0.189,943.0428,500.3285494919963,Qualcomm Snapdragon,12,33.1776,5.2
3621,False,False,Android,Smartphone,Motorola,270,Asia,1.0,Color IPS TFT LCD display,64,0,1800,True,0.18,198.38000000000002,245.20218586989967,Qualcomm Snapdragon,4,2.0736,5.0
3622,False,False,Android,Smartphone,Xiaomi,401,Africa,5.0,AM-OLED display,128,0,2400,True,0.192,472.61550000000005,370.8444979245824,Qualcomm Snapdragon,6,8.2944,5.1
3623,False,False,Android,Smartphone,LG,295,Asia,1.0,Color IPS TFT LCD display,32,0,2000,True,0.146,185.383,260.3960084685723,MediaTek Helio,3,2.0736,5.0
3624,False,False,Android,Smartphone,Motorola,270,South America,1.0,Color IPS TFT LCD display,32,0,2000,True,0.18,223.2538,245.5583132024564,MediaTek Helio,2,2.0736,5.0
3625,False,False,Android,Smartphone,Xiaomi,395,Asia,1.0,Color IPS TFT LCD display,128,60,2000,True,0.198,200.9866,364.1417236449381,Qualcomm Snapdragon,6,2.0736,4.2
3626,False,False,Android,Smartphone,Oppo,405,Asia,1.0,Color IPS TFT LCD display,128,90,2000,True,0.175,235.64280000000002,374.0777987419598,MediaTek Dimensity,6,8.2944,5.1
3627,False,False,Android,Smartphone,Xiaomi,401,Asia,5.0,AM-OLED display,64,0,2400,True,0.192,413.39050000000003,370.8444979245824,Qualcomm Snapdragon,6,8.2944,5.1
3628,False,True,iOS / iPadOS,Smartphone,Apple,403,Asia,2.0,Color IPS TFT LCD display,64,0,2376,False,0.202,1051.3536000000001,316.82616755754526,Apple A11,3,8.2944,5.0
3629,False,True,Android,Smartphone,Sony,643,Asia,3.0,AM-OLED display,256,0,2842,True,0.181,1128.4,586.3695068727119,Qualcomm Snapdragon,12,8.2944,5.1
3630,False,True,iOS / iPadOS,Smartphone,Apple,475,Asia,2.0,AM-OLED display,128,60,2990,True,0.133,943.0428,447.3375686853387,Apple A14,4,8.2944,5.0
3631,False,False,Android,Smartphone,Samsung,401,Asia,1.0,Color IPS TFT LCD display,128,90,2200,True,0.203,285.243,363.65845688844803,MediaTek Dimensity,4,2.359296,5.0
3632,False,True,iOS / iPadOS,Smartphone,Apple,460,North America,4.0,AM-OLED display,256,60,2990,True,0.189,1099.0,434.1204188427978,Apple A14,6,8.2944,5.0
3633,False,False,Android,Smartphone,Sharp,435,Asia,2.0,Color ASV TFT LCD display,64,0,2300,True,0.177,338.7384,390.3795072569,Qualcomm Snapdragon,4,8.2944,5.1
3634,False,False,Android,Smartphone,T-Mobile,271,North America,1.0,Color IPS TFT LCD display,32,0,2000,False,0.159,120.0,242.44219934734076,MediaTek Helio,2,2.0736,5.0
3635,False,False,Android,Smartphone,Oppo,270,Asia,1.0,Color IPS TFT LCD display,64,0,2000,True,0.1895,172.7628,246.05777398997952,MediaTek Dimensity,6,8.2944,5.1
3636,False,False,Android,Smartphone,Samsung,393,Asia,1.0,AM-OLED display,128,0,2000,True,0.183,388.466,368.67092426586635,Qualcomm Snapdragon,6,8.2944,5.0
3637,False,True,Android,Smartphone,Samsung,515,Asia,10.0,AM-OLED display,256,120,2842,False,0.227,1376.5752,490.8452329950593,Qualcomm Snapdragon,12,33.1776,5.2
3638,False,False,Android,Smartphone,Xiaomi,395,Asia,1.0,Color IPS TFT LCD display,64,60,2300,True,0.209,200.9866,366.0334712856186,Qualcomm Snapdragon,6,8.2944,5.0
3639,False,False,Android,Smartphone,ZTE,388,Asia,1.0,AM-OLED display,128,144,2840,True,0.22,579.0,352.4486008293049,Qualcomm Snapdragon,8,33.1776,5.1
3640,True,False,Android,Smartphone,Huawei,415,Asia,10.0,AM-OLED display,512,90,3130,True,0.295,2985.228,386.6182825354699,HiSilicon Honor,8,8.2944,5.2
3641,False,False,Android,Smartphone,Xiaomi,409,Africa,1.0,AM-OLED display,64,0,2050,True,0.17880000000000001,229.0,377.8605512841649,MediaTek Helio,6,8.2944,5.0
3642,False,False,Android,Smartphone,Motorola,393,Eastern Europe,1.0,Color IPS TFT LCD display,128,60,2210,True,0.212,521.1738,365.70047976500496,Qualcomm Snapdragon,6,8.2944,5.1
3643,False,True,iOS / iPadOS,Smartphone,Apple,458,Asia,5.0,AM-OLED display,128,60,2990,True,0.226,1241.0588,434.8420224436595,Apple A14,6,8.2944,5.0
3644,False,False,Android,Smartphone,Samsung,405,North America,1.0,AM-OLED display,128,120,2200,False,0.189,504.0,378.4028439436965,Qualcomm Snapdragon,6,8.2944,5.0
3645,False,False,Android,Smartphone,Samsung,404,Europe,1.0,AM-OLED display,64,0,2300,True,0.191,353.5938,371.88601502686515,Samsung Exynos,4,8.2944,5.0
3646,False,False,Android,Smartphone,Samsung,269,Africa,1.0,Color PLS TFT LCD display,32,0,1804,True,0.197,133.9866,244.44976815310085,Qualcomm Snapdragon,3,2.0736,4.2
3647,False,False,Android,Smartphone,Xiaomi,395,Asia,1.0,AM-OLED display,128,120,3190,True,0.196,345.6828,370.03945393869157,Qualcomm Snapdragon,8,8.2944,5.1
3648,False,False,Android,Tablet,Samsung,283,Africa,1.0,Color PLS TFT LCD display,128,120,2700,False,0.426,509.99,231.3585160757046,Samsung Exynos,4,8.2944,5.0
